Scheme,HeldField,Method,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate
five_class,3,MidpointCompact_RF,212,0.6084905660377359,0.6453646308646308,0.6068619260569725,0.7975635252492763,0.41037735849056606,0.9811320754716981,0.018867924528301886
five_class,4,MidpointCompact_RF,104,0.5,0.3687878787878788,0.3266713480617224,0.5629650041333701,0.5288461538461539,0.9711538461538461,0.028846153846153848
five_class,1,MidpointExtended_LR,440,0.7818181818181819,0.5805071532334021,0.5778621086870105,0.9530723568105246,0.2340909090909091,0.9840909090909091,0.015909090909090907
five_class,2,MidpointExtended_LR,126,0.6666666666666666,0.7272892125365888,0.6764818920916482,0.7752360965372508,0.35714285714285715,0.9761904761904762,0.023809523809523808
five_class,3,MidpointExtended_LR,212,0.6886792452830188,0.7176903591903592,0.6814737904408819,0.8438848773702621,0.32075471698113206,0.9905660377358491,0.009433962264150943
five_class,4,MidpointExtended_LR,104,0.6538461538461539,0.6318181818181817,0.5721603780140365,0.7166806370494552,0.3557692307692308,0.9903846153846154,0.009615384615384616
five_class,1,Prevalence_LR,440,0.6409090909090909,0.4792172277828328,0.4515407493065335,0.929496644295302,0.3840909090909091,0.975,0.025
five_class,2,Prevalence_LR,126,0.6428571428571429,0.5791047333476119,0.5400318680411507,0.7661652666536433,0.3888888888888889,0.9682539682539683,0.031746031746031744
five_class,3,Prevalence_LR,212,0.6132075471698113,0.6581352521352521,0.5810709323500959,0.8244445619042585,0.4056603773584906,0.9811320754716981,0.018867924528301886
five_class,4,Prevalence_LR,104,0.6923076923076923,0.48636363636363644,0.43643727442288593,0.6669790690409247,0.33653846153846156,0.9711538461538461,0.028846153846153848
five_class,1,VRI_Threshold,440,0.6795454545454546,0.5072485034241655,0.5043143904640401,0.9294248481564915,0.35,0.9704545454545455,0.029545454545454545
five_class,2,VRI_Threshold,126,0.5079365079365079,0.3117112872135361,0.2967144251763095,0.562301767104667,0.5714285714285714,0.9206349206349206,0.07936507936507936
five_class,3,VRI_Threshold,212,0.5283018867924528,0.5441254241254241,0.4898272676997658,0.7673004108595827,0.4858490566037736,0.9858490566037735,0.014150943396226415
five_class,4,VRI_Threshold,104,0.6057692307692307,0.36848484848484847,0.36567935354646963,0.6007840574975498,0.41346153846153844,0.9807692307692307,0.019230769230769232
merge01,1,CorePF_LR,440,0.8727272727272727,0.5662052671187069,0.5692635762634174,0.9561260486763703,0.1409090909090909,0.9863636363636363,0.013636363636363636
merge01,2,CorePF_LR,126,0.7063492063492064,0.7050920968087385,0.7148611111111112,0.7431192660550459,0.3333333333333333,0.9603174603174603,0.03968253968253968
merge01,3,CorePF_LR,212,0.6084905660377359,0.6991920644048304,0.5982084987291033,0.7508424512210342,0.4386792452830189,0.9528301886792453,0.04716981132075472
merge01,4,CorePF_LR,104,0.25961538461538464,0.4587121212121212,0.3613579256883187,0.40857392825896766,0.8269230769230769,0.9134615384615384,0.08653846153846154
merge01,1,GlobalPF_LR,440,0.8545454545454545,0.5091450576979453,0.5194996738662082,0.9477531986322997,0.16363636363636364,0.9818181818181818,0.01818181818181818
merge01,2,GlobalPF_LR,126,0.5873015873015873,0.5875428357249947,0.6135499338624338,0.6425966447848286,0.4603174603174603,0.9523809523809523,0.047619047619047616
merge01,3,GlobalPF_LR,212,0.6367924528301887,0.6956161347517731,0.6247451769352385,0.7881429397033327,0.37264150943396224,0.9905660377358491,0.009433962264150943
merge01,4,GlobalPF_LR,104,0.6538461538461539,0.581060606060606,0.6025293117852102,0.6187969924812031,0.3557692307692308,0.9903846153846154,0.009615384615384616
merge01,1,GlobalPF_Threshold,440,0.8454545454545455,0.5106092707583794,0.5218693031106825,0.944986396092512,0.17272727272727273,0.9818181818181818,0.01818181818181818
merge01,2,GlobalPF_Threshold,126,0.6111111111111112,0.6768312272435211,0.6720227920227921,0.664120315111005,0.4365079365079365,0.9523809523809523,0.047619047619047616
merge01,3,GlobalPF_Threshold,212,0.6509433962264151,0.709722901092582,0.6413601693966894,0.7936990633742853,0.3584905660377358,0.9905660377358491,0.009433962264150943
merge01,4,GlobalPF_Threshold,104,0.6538461538461539,0.5897727272727273,0.61063401187447,0.6176470588235294,0.3557692307692308,0.9903846153846154,0.009615384615384616
merge01,1,LocalTail_LR,440,0.7522727272727273,0.46035228551885005,0.4716473412349701,0.8582637445786567,0.32954545454545453,0.9386363636363636,0.06136363636363636
merge01,2,LocalTail_LR,126,0.5555555555555556,0.5171209038337974,0.4067162940839292,0.6991025035427492,0.5317460317460317,0.9206349206349206,0.07936507936507936
merge01,3,LocalTail_LR,212,0.41509433962264153,0.5197708213532681,0.41729520479520477,0.5609451805274845,0.6509433962264151,0.9339622641509434,0.0660377358490566
merge01,4,LocalTail_LR,104,0.375,0.475,0.33487825979483377,0.47504537205081676,0.7019230769230769,0.9230769230769231,0.07692307692307693
merge01,1,MidpointCompact_LR,440,0.8704545454545455,0.5965961511860027,0.5969810336464074,0.9607294796656056,0.13636363636363635,0.9931818181818182,0.006818181818181818
merge01,2,MidpointCompact_LR,126,0.6587301587301587,0.7302527307774683,0.7157294748315056,0.7244094488188977,0.373015873015873,0.9682539682539683,0.031746031746031744
merge01,3,MidpointCompact_LR,212,0.7028301886792453,0.7054814788192447,0.6912622100122101,0.8075325318440673,0.3018867924528302,0.9952830188679245,0.0047169811320754715
merge01,4,MidpointCompact_LR,104,0.7211538461538461,0.6496212121212122,0.6470062948323818,0.6872180451127821,0.28846153846153844,0.9903846153846154,0.009615384615384616
merge01,1,MidpointCompact_RF,440,0.8636363636363636,0.631667434449728,0.6154448359173383,0.9544470702564216,0.14772727272727273,0.9886363636363636,0.011363636363636364
merge01,2,MidpointCompact_RF,126,0.6507936507936508,0.7120850289141143,0.704551094067223,0.7356922346236048,0.373015873015873,0.9761904761904762,0.023809523809523808
merge01,3,MidpointCompact_RF,212,0.6650943396226415,0.7106206871765383,0.6586285649767774,0.7848316459871609,0.3490566037735849,0.9858490566037735,0.014150943396226415
merge01,4,MidpointCompact_RF,104,0.5384615384615384,0.5776515151515151,0.5447984749455338,0.5755743651753326,0.4807692307692308,0.9807692307692307,0.019230769230769232
merge01,1,MidpointExtended_LR,440,0.8681818181818182,0.5719980316834246,0.575245350072893,0.9548228987379053,0.14545454545454545,0.9863636363636363,0.013636363636363636
merge01,2,MidpointExtended_LR,126,0.6746031746031746,0.7424448490040694,0.7289356984478935,0.7500595096405618,0.3492063492063492,0.9761904761904762,0.023809523809523808
merge01,3,MidpointExtended_LR,212,0.7264150943396226,0.7484920691968564,0.7170952990114725,0.8241692500135965,0.2783018867924528,0.9952830188679245,0.0047169811320754715
merge01,4,MidpointExtended_LR,104,0.6634615384615384,0.6439393939393939,0.6152004725175457,0.6648575305291724,0.34615384615384615,0.9903846153846154,0.009615384615384616
merge01,1,Prevalence_LR,440,0.8636363636363636,0.5643088429572719,0.5658358218667978,0.957373175779137,0.14545454545454545,0.990909090909091,0.00909090909090909
merge01,2,Prevalence_LR,126,0.6507936507936508,0.7238809166845149,0.660754120765724,0.7283437283437283,0.38095238095238093,0.9682539682539683,0.031746031746031744
merge01,3,Prevalence_LR,212,0.6981132075471698,0.7160488547057696,0.687975319391402,0.8150520833333333,0.30660377358490565,0.9952830188679245,0.0047169811320754715
merge01,4,Prevalence_LR,104,0.7115384615384616,0.6079545454545455,0.6122132596952741,0.6366459627329193,0.3076923076923077,0.9807692307692307,0.019230769230769232
merge01,1,VRI_Threshold,440,0.85,0.5732362880925097,0.5697273740752002,0.9402777168428904,0.175,0.975,0.025
merge01,2,VRI_Threshold,126,0.5079365079365079,0.3896391090169201,0.3667296174709073,0.5259954349480092,0.5634920634920635,0.9285714285714286,0.07142857142857142
merge01,3,VRI_Threshold,212,0.5471698113207547,0.6129365535748514,0.5270959840698152,0.7363581549593006,0.45754716981132076,0.9952830188679245,0.0047169811320754715
merge01,4,VRI_Threshold,104,0.6346153846153846,0.5647727272727272,0.5856706205045156,0.5737704918032787,0.38461538461538464,0.9807692307692307,0.019230769230769232
