Scheme,HeldField,Method,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate,Altitude
five_class,1,MidpointExtended_LR,440,0.7818181818181819,0.6020737704132944,0.5983719883043551,0.9560430856961825,0.22954545454545455,0.9886363636363636,0.011363636363636364,60
five_class,2,MidpointExtended_LR,126,0.6428571428571429,0.6445891340044264,0.5685529953917051,0.748335552596538,0.38095238095238093,0.9761904761904762,0.023809523809523808,60
five_class,3,MidpointExtended_LR,212,0.6745283018867925,0.7229655434655434,0.6691516037568669,0.8492890995260663,0.33490566037735847,0.9905660377358491,0.009433962264150943,60
five_class,1,MidpointCompact_LR,440,0.7431818181818182,0.5603656019028463,0.5541033666185667,0.947615406006674,0.27045454545454545,0.990909090909091,0.00909090909090909,80
five_class,2,MidpointCompact_LR,126,0.6666666666666666,0.6747154993931604,0.5914447083278251,0.7730751913552454,0.3492063492063492,0.9841269841269841,0.015873015873015872,80
five_class,3,MidpointCompact_LR,212,0.6179245283018868,0.6629296244296243,0.6345546469005103,0.8214105891010497,0.3915094339622642,0.9905660377358491,0.009433962264150943,80
five_class,1,MidpointExtended_LR,440,0.7477272727272727,0.5664312628705522,0.5595875182234655,0.9451703219785348,0.27045454545454545,0.9863636363636363,0.013636363636363636,80
five_class,2,MidpointExtended_LR,126,0.6666666666666666,0.7250489041193688,0.6795863945578231,0.7946098674201261,0.3412698412698413,0.9920634920634921,0.007936507936507936,80
five_class,3,MidpointExtended_LR,212,0.6415094339622641,0.6778711828711829,0.6473466518682944,0.828853840549747,0.36792452830188677,0.9905660377358491,0.009433962264150943,80
five_class,1,MidpointCompact_LR,440,0.7613636363636364,0.6066880066408059,0.603045255816683,0.9504068442161757,0.25227272727272726,0.9886363636363636,0.011363636363636364,100
five_class,2,MidpointCompact_LR,126,0.6190476190476191,0.7056657385592917,0.6513065715135296,0.737211855104281,0.40476190476190477,0.9761904761904762,0.023809523809523808,100
five_class,3,MidpointCompact_LR,212,0.5943396226415094,0.6460942435942436,0.5985288791981839,0.8118559035009871,0.42452830188679247,0.9811320754716981,0.018867924528301886,100
five_class,1,MidpointExtended_LR,440,0.7977272727272727,0.6450934214517184,0.6394755590693288,0.9522027665656377,0.225,0.9795454545454545,0.020454545454545454,100
five_class,2,MidpointExtended_LR,126,0.6190476190476191,0.6998272292425216,0.6524879042526102,0.7761989342806395,0.38095238095238093,1.0,0.0,100
five_class,3,MidpointExtended_LR,212,0.6226415094339622,0.6621210951210952,0.6235105792285984,0.8134338352049894,0.39622641509433965,0.9811320754716981,0.018867924528301886,100
five_class,1,MidpointCompact_LR,440,0.7,0.528369305429178,0.5313263001763076,0.9362565192196253,0.31363636363636366,0.990909090909091,0.00909090909090909,120
five_class,2,MidpointCompact_LR,126,0.6349206349206349,0.6314128649960734,0.5830800405268489,0.6460401754791041,0.42063492063492064,0.9603174603174603,0.03968253968253968,120
five_class,3,MidpointCompact_LR,212,0.5990566037735849,0.6467708552708553,0.582995170064374,0.7925598764767137,0.4386792452830189,0.9622641509433962,0.03773584905660377,120
five_class,1,MidpointExtended_LR,440,0.7818181818181819,0.5798722666538959,0.5775498570920261,0.9462338339440107,0.2431818181818182,0.9795454545454545,0.020454545454545454,120
five_class,2,MidpointExtended_LR,126,0.6428571428571429,0.6607467694724067,0.6127139744786804,0.7040930440617312,0.3888888888888889,0.9841269841269841,0.015873015873015872,120
five_class,3,MidpointExtended_LR,212,0.6132075471698113,0.7009495729495729,0.6277309727625654,0.8179597039764881,0.41037735849056606,0.9764150943396226,0.02358490566037736,120
