Scheme,Repeat,Method,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate
five_class,7,GlobalPF_Threshold,882,0.6757369614512472,0.6686482503957711,0.6660565931312196,0.9107023879748259,0.3424036281179138,0.981859410430839,0.018140589569160998
five_class,8,GlobalPF_Threshold,882,0.6689342403628118,0.6608102488690987,0.658502080990764,0.9090437583599487,0.3492063492063492,0.981859410430839,0.018140589569160998
five_class,9,GlobalPF_Threshold,882,0.671201814058957,0.6635709384718934,0.6607561083029265,0.9106633714078041,0.3458049886621315,0.9829931972789115,0.017006802721088437
five_class,0,LocalTail_LR,882,0.46938775510204084,0.4262556060458406,0.4030924099252256,0.6986396534801079,0.7346938775510204,0.8378684807256236,0.1621315192743764
five_class,1,LocalTail_LR,882,0.47052154195011336,0.4273855495486655,0.40436606772647243,0.7049697622102489,0.7267573696145124,0.8412698412698413,0.15873015873015872
five_class,2,LocalTail_LR,882,0.4671201814058957,0.42329548549612045,0.3999277167560013,0.7069798844723558,0.7278911564625851,0.8424036281179138,0.15759637188208617
five_class,3,LocalTail_LR,882,0.47505668934240364,0.43191429754936606,0.4082846341315151,0.7040382548227706,0.7233560090702947,0.8424036281179138,0.15759637188208617
five_class,4,LocalTail_LR,882,0.47052154195011336,0.4271130191865355,0.40470536822149994,0.7058547362084209,0.7267573696145124,0.8401360544217688,0.1598639455782313
five_class,5,LocalTail_LR,882,0.47165532879818595,0.4284117204852368,0.40519498276917804,0.709154957631218,0.719954648526077,0.8469387755102041,0.15306122448979592
five_class,6,LocalTail_LR,882,0.47392290249433106,0.4308745416367287,0.40796399174797304,0.7044561723741122,0.7256235827664399,0.8401360544217688,0.1598639455782313
five_class,7,LocalTail_LR,882,0.4671201814058957,0.42391714883450204,0.4005369661127526,0.6997708231912572,0.735827664399093,0.8378684807256236,0.1621315192743764
five_class,8,LocalTail_LR,882,0.47278911564625853,0.42956422295352875,0.40467034105352634,0.702683569510963,0.7244897959183674,0.8424036281179138,0.15759637188208617
five_class,9,LocalTail_LR,882,0.47165532879818595,0.4289431962334308,0.4054249229692489,0.7023694841860444,0.7267573696145124,0.8435374149659864,0.1564625850340136
five_class,0,MidpointCompact_LR,882,0.7278911564625851,0.7245970410709089,0.7232936181728452,0.928679114210575,0.2811791383219955,0.9909297052154195,0.009070294784580499
five_class,1,MidpointCompact_LR,882,0.7267573696145124,0.7228193720653184,0.7212822226233755,0.9276594728888286,0.2834467120181406,0.9897959183673469,0.01020408163265306
five_class,2,MidpointCompact_LR,882,0.7256235827664399,0.7221513080943998,0.7204821831979196,0.9267206015225,0.2857142857142857,0.9886621315192744,0.011337868480725623
five_class,3,MidpointCompact_LR,882,0.7256235827664399,0.7221171317444339,0.7203440687005381,0.9266415476510091,0.2857142857142857,0.9886621315192744,0.011337868480725623
five_class,4,MidpointCompact_LR,882,0.7267573696145124,0.7238127273454188,0.7225308106033494,0.9276766487512552,0.2834467120181406,0.9897959183673469,0.01020408163265306
five_class,5,MidpointCompact_LR,882,0.7290249433106576,0.7263930417678384,0.7251852469779296,0.928194668803373,0.2811791383219955,0.9897959183673469,0.01020408163265306
five_class,6,MidpointCompact_LR,882,0.7267573696145124,0.7228364602403013,0.7212691040406034,0.9270159603540774,0.28458049886621317,0.9886621315192744,0.011337868480725623
five_class,7,MidpointCompact_LR,882,0.7233560090702947,0.7198482707493832,0.7177610847293069,0.9270474135957676,0.2868480725623583,0.9897959183673469,0.01020408163265306
five_class,8,MidpointCompact_LR,882,0.7290249433106576,0.7256367969835462,0.7240598118385215,0.9273416929166893,0.282312925170068,0.9886621315192744,0.011337868480725623
five_class,9,MidpointCompact_LR,882,0.7233560090702947,0.7202199626911019,0.7186853755203891,0.9268014824551034,0.2868480725623583,0.9897959183673469,0.01020408163265306
five_class,0,MidpointCompact_RF,882,0.7052154195011338,0.7007968427822024,0.7002254636608888,0.9194767832307206,0.3072562358276644,0.9886621315192744,0.011337868480725623
five_class,1,MidpointCompact_RF,882,0.6950113378684807,0.6900766840134265,0.6900197014873741,0.9147031979271653,0.32086167800453513,0.9852607709750567,0.01473922902494331
five_class,2,MidpointCompact_RF,882,0.7074829931972789,0.7021091682422165,0.7013464036517647,0.9183304597754365,0.30839002267573695,0.9841269841269841,0.015873015873015872
five_class,3,MidpointCompact_RF,882,0.6802721088435374,0.6763244221539073,0.6747302885126483,0.9129312428614396,0.3344671201814059,0.9852607709750567,0.01473922902494331
five_class,4,MidpointCompact_RF,882,0.6984126984126984,0.6950019467684893,0.694723180953422,0.9155149744430099,0.3163265306122449,0.9863945578231292,0.013605442176870748
five_class,5,MidpointCompact_RF,882,0.7040816326530612,0.6981447116461809,0.6971867022511461,0.9185716369562903,0.31065759637188206,0.9852607709750567,0.01473922902494331
five_class,6,MidpointCompact_RF,882,0.7006802721088435,0.6970323180227677,0.6968243339271349,0.9175928388612987,0.3129251700680272,0.9863945578231292,0.013605442176870748
five_class,7,MidpointCompact_RF,882,0.691609977324263,0.6877852248676617,0.6875955562717297,0.915918206146115,0.3219954648526077,0.9863945578231292,0.013605442176870748
five_class,8,MidpointCompact_RF,882,0.7052154195011338,0.702001382122335,0.7001388823689957,0.9166780009416167,0.31179138321995464,0.9841269841269841,0.015873015873015872
five_class,9,MidpointCompact_RF,882,0.6972789115646258,0.6924380839027688,0.6920482599426288,0.914660355135283,0.3197278911564626,0.9829931972789115,0.017006802721088437
five_class,0,MidpointExtended_LR,882,0.746031746031746,0.7442575912045136,0.7416130856146154,0.9298981982195155,0.2675736961451247,0.9875283446712018,0.012471655328798186
five_class,1,MidpointExtended_LR,882,0.7437641723356009,0.7418849576432093,0.7390147159388919,0.9278179462759892,0.272108843537415,0.9852607709750567,0.01473922902494331
five_class,2,MidpointExtended_LR,882,0.7369614512471655,0.7356619747350187,0.7330512535017923,0.9254799962800174,0.2789115646258503,0.9863945578231292,0.013605442176870748
five_class,3,MidpointExtended_LR,882,0.7369614512471655,0.7357315709513065,0.7333727719544378,0.9273080029572524,0.2766439909297052,0.9875283446712018,0.012471655328798186
five_class,4,MidpointExtended_LR,882,0.7392290249433107,0.7381602157528326,0.7355288460740323,0.9281220370896321,0.2743764172335601,0.9875283446712018,0.012471655328798186
five_class,5,MidpointExtended_LR,882,0.7414965986394558,0.7394563128416831,0.7370740289511224,0.9300946780708728,0.2709750566893424,0.9875283446712018,0.012471655328798186
five_class,6,MidpointExtended_LR,882,0.7392290249433107,0.7365303686419287,0.7339547154010135,0.9261696806545711,0.2766439909297052,0.9863945578231292,0.013605442176870748
five_class,7,MidpointExtended_LR,882,0.7380952380952381,0.7364121121105431,0.7337593416025285,0.9288279417037828,0.2743764172335601,0.9886621315192744,0.011337868480725623
five_class,8,MidpointExtended_LR,882,0.7392290249433107,0.7366820382628223,0.7339119689836637,0.9277306676164624,0.2755102040816326,0.9863945578231292,0.013605442176870748
